Subject,Body,Sender,BodyLength,HasLink,NumExclamations,HasSuspiciousWord,SenderDomainReputation,NumUppercaseWords,HasAttachment,Spam
report update,"Hello, here is the schedule information you requested.",maria@gmail.com,54,0,0,0,1,0,1,0
family update,"Hello, here is the document information you requested.",john@gmail.com,54,0,0,0,1,0,0,0
document update,"Hello, here is the meeting information you requested.",john@gmail.com,53,0,0,0,1,0,0,0
invoice update,"Hello, here is the report information you requested.",john@gmail.com,52,0,0,0,1,0,0,0
invoice update,"Hello, here is the report information you requested.",lucia@gmail.com,52,1,0,0,1,0,0,0
university update,"Hello, here is the project information you requested.",john@udec.edu,53,0,0,0,1,0,1,0
prize only,This is your chance to lottery 239 dollars!!!,user683@lottery.net,45,1,3,1,0,0,0,1
update update,"Hello, here is the project information you requested.",kevin@gmail.com,53,1,0,0,1,0,0,0
discount today,This is your chance to urgent 5691 dollars!!!,user816@cheapoffers.com,45,2,3,1,0,0,1,1
team update,"Hello, here is the schedule information you requested.",kevin@udec.edu,54,0,0,0,1,0,0,0
money now,This is your chance to offer 5359 dollars!!!,user474@cheapoffers.com,44,1,3,1,1,0,1,1
discount only,This is your chance to gift 6283 dollars!!!,user826@freemoney.org,43,1,3,1,1,0,1,1
project update,"Hello, here is the document information you requested.",kevin@outlook.com,54,1,0,0,1,0,0,0
document update,"Hello, here is the university information you requested.",kevin@outlook.com,56,0,0,0,1,0,1,0
meeting update,"Hello, here is the update information you requested.",maria@udec.edu,52,0,0,0,1,0,0,0
crypto today,This is your chance to free 7444 dollars!!!,user364@cheapoffers.com,43,0,3,1,0,0,1,1
update update,"Hello, here is the invoice information you requested.",john@gmail.com,53,1,0,0,1,0,0,0
university update,"Hello, here is the report information you requested.",lucia@outlook.com,52,0,0,0,1,0,0,0
university update,"Hello, here is the university information you requested.",lucia@udec.edu,56,1,0,0,1,0,1,0
meeting update,"Hello, here is the report information you requested.",john@udec.edu,52,0,0,0,1,0,1,0
meeting update,"Hello, here is the invoice information you requested.",kevin@udec.edu,53,0,0,0,1,0,0,0
university update,"Hello, here is the team information you requested.",maria@udec.edu,50,0,0,0,1,0,1,0
project update,"Hello, here is the invoice information you requested.",kevin@udec.edu,53,0,0,0,1,0,1,0
report update,"Hello, here is the meeting information you requested.",maria@udec.edu,53,1,0,0,1,0,0,0
crypto now,This is your chance to prize 6228 dollars!!!,user959@cheapoffers.com,44,2,3,1,1,0,1,1
update update,"Hello, here is the report information you requested.",kevin@udec.edu,52,0,0,0,1,0,1,0
schedule update,"Hello, here is the document information you requested.",maria@gmail.com,54,0,0,0,1,0,1,0
document update,"Hello, here is the report information you requested.",kevin@udec.edu,52,0,0,0,1,0,1,0
update update,"Hello, here is the meeting information you requested.",maria@gmail.com,53,0,0,0,1,0,0,0
crypto only,This is your chance to offer 3174 dollars!!!,user554@lottery.net,44,1,3,1,0,0,1,1
prize today,This is your chance to money 9587 dollars!!!,user461@lottery.net,44,0,3,1,1,0,1,1
team update,"Hello, here is the university information you requested.",john@udec.edu,56,0,0,0,1,0,1,0
meeting update,"Hello, here is the schedule information you requested.",kevin@udec.edu,54,1,0,0,1,0,1,0
university update,"Hello, here is the schedule information you requested.",maria@udec.edu,54,0,0,0,1,0,0,0
schedule update,"Hello, here is the family information you requested.",lucia@gmail.com,52,0,0,0,1,0,0,0
team update,"Hello, here is the project information you requested.",john@udec.edu,53,0,0,0,1,0,1,0
schedule update,"Hello, here is the update information you requested.",john@outlook.com,52,1,0,0,1,0,0,0
discount now,This is your chance to free 5115 dollars!!!,user348@freemoney.org,43,1,3,1,1,0,1,1
win now,This is your chance to crypto 351 dollars!!!,user696@freemoney.org,44,2,3,1,1,0,1,1
university update,"Hello, here is the meeting information you requested.",lucia@udec.edu,53,0,0,0,1,0,1,0
gift today,This is your chance to free 9578 dollars!!!,user580@lottery.net,43,1,3,1,0,0,0,1
document update,"Hello, here is the family information you requested.",lucia@udec.edu,52,0,0,0,1,0,0,0
document update,"Hello, here is the schedule information you requested.",kevin@outlook.com,54,0,0,0,1,0,0,0
update update,"Hello, here is the update information you requested.",kevin@outlook.com,52,1,0,0,1,0,1,0
university update,"Hello, here is the team information you requested.",maria@udec.edu,50,0,0,0,1,0,1,0
project update,"Hello, here is the schedule information you requested.",john@outlook.com,54,0,0,0,1,0,1,0
project update,"Hello, here is the document information you requested.",lucia@gmail.com,54,0,0,0,1,0,1,0
urgent now,This is your chance to prize 6223 dollars!!!,user494@cheapoffers.com,44,2,3,1,1,0,1,1
team update,"Hello, here is the meeting information you requested.",kevin@outlook.com,53,1,0,0,1,0,0,0
update update,"Hello, here is the university information you requested.",maria@gmail.com,56,0,0,0,1,0,1,0
money today,This is your chance to free 3575 dollars!!!,user715@lottery.net,43,0,3,1,1,0,1,1
crypto now,This is your chance to crypto 9032 dollars!!!,user452@freemoney.org,45,0,3,1,0,0,1,1
invoice update,"Hello, here is the update information you requested.",john@udec.edu,52,0,0,0,1,0,0,0
urgent now,This is your chance to urgent 1992 dollars!!!,user311@lottery.net,45,0,3,1,0,0,1,1
university update,"Hello, here is the meeting information you requested.",maria@gmail.com,53,0,0,0,1,0,1,0
university update,"Hello, here is the family information you requested.",kevin@udec.edu,52,0,0,0,1,0,0,0
crypto only,This is your chance to urgent 5168 dollars!!!,user958@cheapoffers.com,45,2,3,1,0,0,0,1
